Táxon;Nome comum;Familia;Status global;Status nacional ;Área de ocorrência predominante;Habitat ;Status migratório ;Impacto potencial / Risco presumido
Anous minutus;Trinta-réis-preto;Laridae;LC;LC;Norte e Nordeste;Oceânico;Residente, restrito a ilhas;Colisão / Baixo
Gygis alba;Grazina;Laridae;LC;NT;Nordeste e Sudeste;Oceânico;Residente, restrito a ilhas;Colisão / Baixo
Rynchops niger;Talha-mar;Laridae;LC;LC;Toda a costa, Interior;Costeiro, Interior, improvável deslocamentos sobre o oceano aberto;Residente, migra para o interior;Colisão / Baixo
Onychoprion fuscatus;Trinta-réis-das-rocas;Laridae;LC;LC;Nordeste e Norte;Oceânico;Residente;Colisão, perda de habitat / -
Sternula antillarum;Trinta-réis-miúdo;Laridae;LC;LC;Norte e Nordeste;Costeiro;Migrante boreal, Residente no MA;Colisão, perda de habitat / -
Sternula superciliaris;Trinta-réis-pequeno;Laridae;LC;LC;Toda a costa, Interior;Costeiro, Interior, improvável deslocamentos sobre o oceano aberto;Residente;Colisão / Baixo
Phaetusa simplex;Trinta-réis-grande;Laridae;LC;LC;Toda a costa, Interior;Costeiro, Interior, improvável deslocamentos sobre o oceano aberto;Residente;Colisão / Baixo
Gelochelidon nilotica;Trinta-réis-de-bico-preto;Laridae;LC;LC;Norte e Nordeste;Costeiro, Interior, improvável deslocamentos sobre o oceano aberto;Migrante parcial no Norte;Colisão / Baixo
Sterna hirundo;Trinta-réis-boreal;Laridae;LC;LC;Toda a costa;Costeiro, Nerítico;Migrante boreal;Colisão, perda de habitat / Elevado
Sterna dougallii;Trinta-réis-róseo;Laridae;LC;VU;Nordeste;Costeiro, Nerítico;Migrante boreal;Colisão, perda de habitat / Elevado
Sterna paradisaea;Trinta-réis-ártico;Laridae;LC;LC;Toda a costa;Oceânico, raramente Costeiro;Migrante boreal;Colisão / Moderado
Sterna hirundinacea;Trinta-réis-de-bico-vermelho;Laridae;LC;VU;Sul e Sudeste;Costeiro, Nerítico;Residente, Migrante austral parcial no RS;Colisão, perda de habitat / Elevado
Sterna trudeaui;Trinta-réis-de-coroa-branca;Laridae;LC;LC;Sul e sudeste;Costeiro;Migrante parcial no Sul;Colisão / Baixo
Thalasseus acuflavidus;Trinta-réis-de-bando;Laridae;LC;LC;Toda a costa;Costeiro, Nerítico;Residente, Migrante austral parcial no RS;Colisão, perda de habitat / Elevado
Thalasseus maximus;Trinta-réis-real;Laridae;LC;EN;Toda a costa (exceto RN a norte da BA);Costeiro, Nerítico;Migrante austral parcial no RS, Migrante boreal no Norte, Residente no Sudeste;Colisão, perda de habitat / Elevado
Phaethon aethereus;Rabo-de-palha-de-bico-vermelho;Phaethontidae;LC;EN;Nordeste (Abrolhos e Fernando de Noronha);Oceânico;Residente, restrito a ilhas;Colisão, perda de habitat / Baixo
Phaethon lepturus;Rabo-de-palha-de-bico-laranja;Phaethontidae;LC;EN;Nordeste (Fernando de Noronha e Abrolhos);Oceânico;Residente, restrito a ilhas;Colisão, perda de habitat / Baixo
Spheniscus magellanicus;Pinguim-de-magalhães;Spheniscidae;LC;NT;Sul e Sudeste;Nerítico;Migrante austral;Alteração de habitat de alimentação no Sul / Elevado
Diomedea epomophora;Albatroz-real;Diomedeidae;VU;VU;Sul;Oceânico;Migrante austral;Colisão, perda de habitat / Moderado
